heure;Date;Swin;Swout;Lwin;Lwout;Wspeed_meteo;Wvector;Wdir;Wdir SD;Tair;HR;Patm;esat;ea;G;Tsol_1_10;Tsol_1_20;Tsol_1_40;Tsol_2_10;Tsol_2_20;Tsol_2_40;Rnet;CO2;Tair_v;Rh_v;esat_cor;ea_cor;Rain;Hv1;Hv-2
0;01/01/2008 00:00;-1.4995;5.194;321.3;404.4;1.045;1.0195;28.375;12.69;21.83;22.44;961;2.616;0.58695;4.707;27.13;28.025;28.02;27.545;28.12;28.375;-89.7935;NA;NA;NA;NA;NA;0;0.037;0.045
0.5;01/01/2008 00:30;-1.9855;4.2825;319.25;404.3;1.4565;1.437;15.87;9.3675;21.45;21.965;961;2.556;0.5615;5.723;26.935;27.92;28.015;27.445;28.07;28.345;-91.318;NA;NA;NA;NA;NA;0;0.037;0.045
1;01/01/2008 01:00;-2.345;4.1025;317.15;402;1.2835;1.2665;21.535;9.32;21.005;21.315;960.5;2.487;0.53005;6.6535;26.76;27.82;28.01;27.35;28.03;28.325;-91.2975;NA;NA;NA;NA;NA;0;0.037;0.045
1.5;01/01/2008 01:30;-2.783;3.7635;315.15;398.65;1.1765;1.156;44.45;10.83;20.485;21.14;960;2.4075;0.509;7.505;26.605;27.73;28.015;27.26;27.995;28.335;-90.0465;NA;NA;NA;NA;NA;0;0.037;0.045
2;01/01/2008 02:00;-2.5735;3.7635;314.2;396.75;1.282;1.263;29.455;9.3455;19.91;21.87;960;2.324;0.50825;8.285;26.465;27.65;28.02;27.18;27.96;28.355;-88.887;NA;NA;NA;NA;NA;0;0.037;0.045
2.5;01/01/2008 02:30;-2.112;4.2375;314.9;396.7;1.1965;1.1665;41.295;12.87;19.98;21.13;960;2.3335;0.49315;9.005;26.32;27.555;28.005;27.085;27.915;28.355;-88.1495;NA;NA;NA;NA;NA;0;0.037;0.045
3;01/01/2008 03:00;-2.5375;3.589;314.3;395.15;1.33;1.2965;39.555;12.8;19.665;21.19;960;2.289;0.485;9.68;26.175;27.465;27.995;26.995;27.87;28.34;-86.9765;NA;NA;NA;NA;NA;0;0.037;0.045
3.5;01/01/2008 03:30;-2.345;3.6875;313.3;395.35;1.478;1.4655;27.55;7.531;19.355;21.255;960;2.2455;0.47725;10.3;26.035;27.375;27.975;26.905;27.815;28.335;-88.0825;NA;NA;NA;NA;NA;0;0.037;0.045
4;01/01/2008 04:00;-1.9625;3.88;312.35;396;1.7265;1.6905;22.62;11.645;19.23;20.935;960;2.228;0.46645;10.875;25.895;27.28;27.955;26.81;27.765;28.315;-89.4925;NA;NA;NA;NA;NA;0;0.037;0.045
4.5;01/01/2008 04:30;-2.6495;3.467;312.05;395.65;1.462;1.417;28.49;14.38;19.305;20.485;959.5;2.238;0.45855;11.405;25.755;27.185;27.92;26.72;27.705;28.29;-89.7165;NA;NA;NA;NA;NA;0;0.037;0.045
5;01/01/2008 05:00;-2.8565;3.249;309.75;389.2;1.2465;1.221;49.075;11.72;18.675;21.055;959.5;2.152;0.45315;11.885;25.64;27.1;27.905;26.645;27.665;28.285;-85.5555;NA;NA;NA;NA;NA;0;0.037;0.045
5.5;01/01/2008 05:30;-2.682;3.376;308.15;391.75;1.615;1.565;49.995;14.195;18.425;21.49;960;2.118;0.4552;12.33;25.54;27.025;27.89;26.58;27.625;28.295;-89.658;NA;NA;NA;NA;NA;0;0.037;0.045
6;01/01/2008 06:00;-2.9785;2.986;305.75;386.65;1.2815;1.26;48.485;10.47;17.66;23.075;960;2.0185;0.4658;12.755;25.42;26.94;27.865;26.5;27.575;28.28;-86.8645;NA;NA;NA;NA;NA;0;0.037;0.045
6.5;01/01/2008 06:30;6.3925;5.03;304.75;389.8;1.598;1.5575;48.08;12.71;17.665;22.995;960;2.0195;0.46435;13.155;25.31;26.86;27.84;26.42;27.525;28.275;-83.6875;NA;NA;NA;NA;NA;0;0.037;0.045
7;01/01/2008 07:00;59.3;17.535;304.9;394.65;1.385;1.354;29.625;12.065;17.705;23.37;961;2.025;0.47305;13.545;25.165;26.76;27.795;26.33;27.465;28.23;-47.985;NA;NA;NA;NA;NA;0;0.037;0.045
7.5;01/01/2008 07:30;152.9;35.045;308.25;412.8;1.935;1.8825;35.515;13.305;19.48;20.605;961.5;2.265;0.46585;13.9;24.995;26.63;27.72;26.225;27.38;28.11;13.305;NA;NA;NA;NA;NA;0;0.037;0.045
8;01/01/2008 08:00;259.25;49.645;312.85;429.4;2.6535;2.5895;31.405;12.525;21.19;18.13;962;2.516;0.4557;14.155;24.82;26.445;27.59;26.075;27.24;27.93;93.055;NA;NA;NA;NA;NA;0;0.037;0.045
8.5;01/01/2008 08:30;365.75;65.09;320.3;446.95;3.052;2.9775;33.345;12.575;22.9;15.83;962;2.7925;0.44165;14.19;24.695;26.255;27.44;25.945;27.08;27.73;174.01;NA;NA;NA;NA;NA;0;0.037;0.045
9;01/01/2008 09:00;469.3;80.265;325.75;463.1;3.5865;3.4445;37.965;16.055;24.305;14.205;962;3.0385;0.43145;13.905;24.63;26.08;27.29;25.865;26.925;27.535;251.685;NA;NA;NA;NA;NA;0;0.037;0.045
9.5;01/01/2008 09:30;569.6;94.05;330.6;480.05;3.577;3.4585;38.5;14.74;25.665;12.89;962;3.2945;0.42435;13.265;24.655;25.94;27.17;25.845;26.8;27.38;326.1;NA;NA;NA;NA;NA;0;0.038;0.045
10;01/01/2008 10:00;654.1;105.1;335.25;496.4;3.6665;3.5315;45.575;15.54;26.785;11.945;962;3.5205;0.4204;12.255;24.76;25.835;27.055;25.875;26.7;27.24;387.85;NA;NA;NA;NA;NA;0;0.038;0.045
10.5;01/01/2008 10:30;722;114.05;340.6;512.9;3.405;3.3035;51.04;14.01;27.87;10.925;962;3.7525;0.40955;10.845;24.93;25.76;26.955;25.97;26.62;27.11;435.65;NA;NA;NA;NA;NA;0;0.038;0.045
11;01/01/2008 11:00;764.25;119.15;344.75;526.55;3.185;3.068;39.865;15.475;28.825;10.05;962;3.965;0.39845;8.985;25.18;25.735;26.88;26.115;26.585;27.02;463.3;NA;NA;NA;NA;NA;0;0.038;0.045
11.5;01/01/2008 11:30;789.15;122.1;349.5;538.55;2.9515;2.756;31.24;20.555;29.66;9.95;961.5;4.1615;0.4141;6.618;25.555;25.78;26.855;26.33;26.61;27;478;NA;NA;NA;NA;NA;0;0.038;0.045
12;01/01/2008 12:00;797.3;123.75;353.5;545.25;3.165;2.9405;44.035;21.565;30.435;9.885;961;4.35;0.43005;3.7615;25.995;25.865;26.84;26.565;26.65;26.995;481.8;NA;NA;NA;NA;NA;0;0.038;0.045
12.5;01/01/2008 12:30;795.55;122.05;357.4;553.1;2.268;2.098;54.54;22.23;31.215;9.76;960.5;4.548;0.44375;0.5775;26.48;25.975;26.82;26.81;26.7;26.99;477.8;NA;NA;NA;NA;NA;0;0.038;0.045
13;01/01/2008 13:00;768.35;115.55;359.7;555.6;1.785;1.575;39.24;27.855;31.76;9.725;960;4.6915;0.45605;-2.6945;26.98;26.12;26.815;27.07;26.775;26.99;456.9;NA;NA;NA;NA;NA;0;0.038;0.045
